期数,号码1,号码2,号码3,号码4,号码5,号码6,号码7,生肖1,生肖2,生肖3,生肖4,生肖5,生肖6,生肖7
096,41,27,28,07,30,31,05,鼠,虎,牛,狗,猪,狗,鼠
095,30,19,38,01,17,46,48,猪,狗,兔,龙,鼠,羊,蛇
094,26,31,35,36,10,44,33,兔,狗,马,蛇,羊,鸡,猴
093,38,10,42,47,03,04,41,兔,羊,猪,马,虎,牛,鼠
092,18,15,33,44,31,20,24,猪,虎,猴,鸡,狗,鸡,蛇
091,02,30,17,28,35,49,34,兔,猪,鼠,牛,马,龙,羊
090,35,37,49,41,11,06,45,马,龙,龙,鼠,马,猪,猴
089,24,12,21,18,16,36,13,蛇,蛇,猴,猪,牛,蛇,龙
088,20,48,46,19,18,06,37,鸡,蛇,羊,狗,猪,猪,龙
087,02,21,29,46,43,13,06,兔,猴,鼠,羊,狗,龙,猪
086,02,10,29,31,28,25,11,兔,羊,鼠,狗,牛,龙,马
085,13,17,47,01,38,12,35,龙,鼠,马,龙,兔,蛇,马
084,25,09,15,13,23,32,05,龙,猴,虎,龙,马,鸡,鼠
083,38,32,35,25,48,19,22,兔,鸡,马,龙,蛇,狗,羊
082,27,35,33,01,12,19,22,虎,马,猴,龙,蛇,狗,羊
081,07,05,22,23,21,36,13,狗,鼠,羊,马,猴,蛇,龙
080,39,16,42,11,46,03,38,虎,牛,猪,马,羊,虎,兔
079,15,19,42,48,02,34,44,虎,狗,猪,蛇,兔,羊,鸡
078,07,11,44,13,42,27,05,狗,马,鸡,龙,猪,虎,鼠
077,09,45,43,41,49,04,32,猴,猴,狗,鼠,龙,牛,鸡
076,23,44,15,06,12,27,17,马,鸡,虎,猪,蛇,虎,鼠
075,22,26,03,19,44,38,16,羊,兔,虎,狗,鸡,兔,牛
074,19,33,02,31,49,41,16,狗,猴,兔,狗,龙,鼠,牛
073,13,41,07,31,26,27,34,龙,鼠,狗,狗,兔,虎,羊
072,27,13,10,44,45,49,19,虎,龙,羊,鸡,猴,龙,狗
071,48,06,23,29,02,04,03,蛇,猪,马,鼠,兔,牛,虎
070,27,12,09,33,34,14,06,虎,蛇,猴,猴,羊,兔,猪
069,41,40,38,03,19,07,08,鼠,牛,兔,虎,狗,狗,鸡
068,23,38,21,18,44,39,20,马,兔,猴,猪,鸡,虎,鸡
067,30,44,23,42,31,01,34,猪,鸡,马,猪,狗,龙,羊
066,43,47,04,05,37,16,42,狗,马,牛,鼠,龙,牛,猪
065,18,02,21,16,26,43,04,猪,兔,猴,牛,兔,狗,牛
064,25,05,37,36,40,02,46,龙,鼠,龙,蛇,牛,兔,羊
063,43,25,36,24,18,32,31,狗,龙,蛇,蛇,猪,鸡,狗
062,43,13,15,37,03,45,49,狗,龙,虎,龙,虎,猴,龙
061,20,44,13,37,05,26,33,鸡,鸡,龙,龙,鼠,兔,猴
060,43,45,31,16,27,38,44,狗,猴,狗,牛,虎,兔,鸡
059,15,25,09,43,49,46,30,虎,龙,猴,狗,龙,羊,猪
058,13,25,28,40,49,43,11,龙,龙,牛,牛,龙,狗,马
057,23,31,07,32,47,26,46,马,狗,狗,鸡,马,兔,羊
056,37,42,05,17,12,02,23,龙,猪,鼠,鼠,蛇,兔,马
055,40,48,22,47,16,18,31,牛,蛇,羊,马,牛,猪,狗
054,42,14,35,29,15,05,09,猪,兔,马,鼠,虎,鼠,猴
053,10,15,24,47,40,33,25,羊,虎,蛇,马,牛,猴,龙
052,34,47,36,29,48,02,09,羊,马,蛇,鼠,蛇,兔,猴
051,08,36,43,06,29,35,12,鸡,蛇,狗,猪,鼠,马,蛇
050,03,47,42,44,05,37,39,虎,马,猪,鸡,鼠,龙,虎
049,31,28,44,29,40,36,35,狗,牛,鸡,鼠,牛,蛇,马
048,49,09,13,22,42,05,30,龙,猴,龙,羊,猪,鼠,猪
047,14,29,36,10,13,33,09,兔,鼠,蛇,羊,龙,猴,猴
046,43,48,49,31,13,40,02,狗,蛇,龙,狗,龙,牛,兔
045,17,09,22,40,37,13,28,鼠,猴,羊,牛,龙,龙,牛
044,43,05,16,34,30,38,02,狗,鼠,牛,羊,猪,兔,兔
043,16,01,29,39,37,07,42,牛,龙,鼠,虎,龙,狗,猪
042,19,02,11,10,17,48,15,狗,兔,马,羊,鼠,蛇,虎
041,45,04,19,12,06,27,41,猴,牛,狗,蛇,猪,虎,鼠
040,09,03,25,38,32,42,40,羊,牛,兔,虎,猴,狗,鼠
039,41,17,14,08,10,27,19,猪,猪,虎,猴,马,牛,鸡
038,31,46,03,38,27,26,06,鸡,马,牛,虎,牛,虎,狗
037,18,42,20,39,49,04,10,狗,狗,猴,牛,兔,鼠,马
036,16,41,38,14,25,48,29,鼠,猪,虎,虎,兔,龙,猪
035,12,48,38,15,20,18,44,龙,龙,虎,牛,猴,狗,猴
034,03,49,42,44,45,48,11,牛,兔,狗,猴,羊,龙,蛇
033,48,44,45,26,29,25,30,龙,猴,羊,虎,猪,兔,狗
032,35,22,27,46,03,23,40,蛇,马,牛,马,牛,蛇,鼠
031,12,40,31,48,26,15,07,龙,鼠,鸡,龙,虎,牛,鸡
030,21,27,22,36,23,08,03,羊,牛,马,龙,蛇,猴,牛
029,19,09,26,30,35,27,16,鸡,羊,虎,狗,蛇,牛,鼠
028,13,44,05,28,30,32,09,兔,猴,猪,鼠,狗,猴,羊
027,06,23,07,31,18,47,28,狗,蛇,鸡,鸡,狗,蛇,鼠
026,18,03,36,06,34,14,30,狗,牛,龙,狗,马,虎,狗
025,23,27,21,34,14,10,32,蛇,牛,羊,马,虎,马,猴
024,49,41,35,30,03,31,01,兔,猪,蛇,狗,牛,鸡,兔
023,11,41,43,33,48,36,20,蛇,猪,鸡,羊,龙,龙,猴
022,21,28,36,44,34,30,41,羊,鼠,龙,猴,马,狗,猪
021,12,15,08,38,36,21,35,龙,牛,猴,虎,龙,羊,蛇
020,04,42,36,16,11,03,29,鼠,狗,龙,鼠,蛇,牛,猪
019,34,23,19,22,45,27,17,马,蛇,鸡,马,羊,牛,猪
018,03,04,29,44,27,35,47,牛,鼠,猪,猴,牛,蛇,蛇
017,49,31,03,39,18,41,23,兔,鸡,牛,牛,狗,猪,蛇
016,41,32,25,07,46,27,17,猪,猴,兔,鸡,马,牛,猪
015,38,29,32,18,20,33,39,虎,猪,猴,狗,猴,羊,牛
014,43,32,14,17,26,37,20,鸡,猴,虎,猪,虎,兔,猴
013,26,34,38,08,17,24,18,虎,马,虎,猴,猪,龙,狗
012,05,21,24,12,15,41,22,猪,羊,龙,龙,牛,猪,马
011,45,14,09,24,29,32,43,羊,虎,羊,龙,猪,猴,鸡
010,46,16,01,14,06,02,36,马,鼠,兔,虎,狗,虎,龙
009,11,17,12,15,22,07,06,蛇,猪,龙,牛,马,鸡,狗
008,27,41,45,22,25,05,20,牛,猪,羊,马,兔,猪,猴
007,36,10,03,05,04,08,19,龙,马,牛,猪,鼠,猴,鸡
006,13,35,31,01,05,06,23,兔,蛇,鸡,兔,猪,狗,蛇
005,01,44,16,22,38,32,19,兔,猴,鼠,马,虎,猴,鸡
004,39,36,28,49,12,24,40,牛,龙,鼠,兔,龙,龙,鼠
003,42,40,30,05,14,45,19,狗,鼠,狗,猪,虎,羊,鸡
002,30,32,31,39,44,24,26,狗,猴,鸡,牛,猴,龙,虎
001,44,25,03,16,10,20,06,猴,兔,牛,鼠,马,猴,狗
